2026-05-13 13:08:01.707 | INFO     | __main__:run_single_config:188 |   20x100 T=0.50 K= 85 | SV: 0.5377 vs 0.4080 (+31.77%) | SVJ: 0.5797 vs 0.3682 (+57.47%) | 4.34s
2026-05-13 13:08:01.727 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=90 T=0.5000 -> price=1.176222 (P1=0.835626, P2=0.801335)
2026-05-13 13:08:01.760 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=90 T=0.5000 -> price=1.128305 (P1=0.832168, P2=0.797975)
2026-05-13 13:08:01.761 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.002500
2026-05-13 13:08:01.837 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:08:04.158 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:08:04.158 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 1.168690
2026-05-13 13:08:04.159 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.002500
2026-05-13 13:08:04.235 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:08:06.552 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:08:06.553 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 1.231643
2026-05-13 13:08:06.553 | INFO     | __main__:run_single_config:188 |   20x100 T=0.50 K= 90 | SV: 1.1687 vs 1.1762 (-0.64%) | SVJ: 1.2316 vs 1.1283 (+9.16%) | 4.79s
2026-05-13 13:08:06.576 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=95 T=0.5000 -> price=2.565317 (P1=0.743457, P2=0.698462)
2026-05-13 13:08:06.619 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=95 T=0.5000 -> price=2.507706 (P1=0.740242, P2=0.695642)
2026-05-13 13:08:06.619 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.002500
2026-05-13 13:08:06.688 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:08:08.983 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:08:08.983 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 2.302432
2026-05-13 13:08:08.984 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.002500
2026-05-13 13:08:09.062 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:08:11.377 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:08:11.377 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 2.383336
2026-05-13 13:08:11.378 | INFO     | __main__:run_single_config:188 |   20x100 T=0.50 K= 95 | SV: 2.3024 vs 2.5653 (-10.25%) | SVJ: 2.3833 vs 2.5077 (-4.96%) | 4.76s
2026-05-13 13:08:11.399 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=100 T=0.5000 -> price=4.752499 (P1=0.624361, P2=0.570441)
2026-05-13 13:08:11.431 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=100 T=0.5000 -> price=4.682384 (P1=0.622360, P2=0.569121)
2026-05-13 13:08:11.431 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.002500
2026-05-13 13:08:11.510 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:08:13.766 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:08:13.766 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 4.131471
2026-05-13 13:08:13.768 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.002500
2026-05-13 13:08:13.844 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:08:16.183 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:08:16.184 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 4.220059
2026-05-13 13:08:16.185 | INFO     | __main__:run_single_config:188 |   20x100 T=0.50 K=100 | SV: 4.1315 vs 4.7525 (-13.07%) | SVJ: 4.2201 vs 4.6824 (-9.87%) | 4.75s
2026-05-13 13:08:16.214 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=105 T=0.5000 -> price=7.788586 (P1=0.484538, P2=0.426366)
